"study_id","NGI_id","overlap"
1,"P12901_1033",FALSE
2,"P12901_1051",FALSE
3,"P12901_1046",FALSE
4,"P12901_1047",FALSE
5,"P12901_1054",TRUE
6,"P12901_1055",TRUE
7,"P12901_1095",FALSE
8,"P12901_1056",TRUE
10,"P12901_1183",FALSE
11,"P12901_1063",TRUE
13,"P12901_1068",FALSE
14,"P12901_1070",FALSE
15,"P12901_1072",FALSE
17,"P12901_1185",TRUE
18,"P12901_1075",TRUE
19,"P12901_1188",TRUE
20,"P12901_1077",FALSE
22,"P12901_1189",TRUE
23,"P12901_1079",FALSE
24,"P12901_1080",TRUE
25,"P12901_1081",TRUE
27,"P12901_1113",FALSE
31,"P12901_1119",TRUE
33,"P12901_1120",FALSE
34,"P12901_1121",FALSE
35,"P12901_1122",FALSE
36,"P12901_1123",FALSE
37,"P12901_1125",TRUE
38,"P12901_1126",FALSE
39,"P12901_1127",TRUE
49,"P19406_1047",FALSE
50,"P19207_1037",TRUE
55,"P19207_1041",TRUE
56,"P19207_1042",TRUE
60,"P19207_1045",FALSE
61,"P19207_1046",FALSE
62,"P19207_1047",TRUE
65,"P19602_1002",FALSE
72,"P19602_1004",TRUE
75,"P19602_1005",TRUE
77,"P19602_1006",TRUE
79,"P19602_1007",FALSE
81,"P19602_1009",FALSE
82,"P19602_1010",TRUE
83,"P19602_1011",TRUE
85,"P19602_1013",TRUE
86,"P19602_1014",FALSE
87,"P19602_1015",FALSE
88,"P19602_1016",TRUE
89,"P19602_1017",FALSE
90,"P19602_1018",TRUE
94,"P19602_1019",FALSE
99,"P19602_1023",FALSE
103,"P19602_1024",FALSE
104,"P19602_1025",FALSE
105,"P19602_1026",TRUE
108,"P19602_1027",FALSE
111,"P19602_1030",FALSE
112,"P19602_1031",TRUE
116,"P19602_1034",TRUE
117,"P19602_1035",FALSE
118,"P19602_1036",FALSE
119,"P19602_1037",FALSE
120,"P22457_1004",TRUE
121,"P19602_1038",TRUE
122,"P19602_1039",TRUE
124,"P19602_1040",FALSE
125,"P19602_1041",TRUE
126,"P19602_1042",TRUE
127,"P19602_1043",TRUE
128,"P19602_1044",TRUE
129,"P19602_1045",TRUE
130,"P19602_1046",TRUE
131,"P19602_1047",FALSE
133,"P22457_1006",TRUE
135,"P22457_1007",FALSE
137,"P22457_1009",FALSE
138,"P22457_1010",FALSE
141,"P22457_1013",TRUE
142,"P22457_1015",TRUE
143,"P22457_1014",FALSE
151,"P22457_1021",FALSE
152,"P22457_1022",FALSE
153,"P22457_1023",FALSE
157,"P22457_1027",FALSE
163,"P22457_1033",FALSE
166,"P22457_1035",TRUE
175,"P22457_1043",FALSE
176,"P22457_1044",TRUE
178,"P22457_1046",FALSE
181,"P22457_1048",FALSE
182,"P26501_1045",FALSE
192,"P24001_1045",FALSE
